Area_sqft,Bedrooms,Bathrooms,Stories,Parking,Age_years,Location,Furnishing,Road_access,Guestroom,Basement,Hot_water,AC,Preferred_area,Price
2455,2,3,2,1,7,Midtown,Furnished,Yes,No,No,No,Yes,No,709596.91
2085,1,4,1,2,22,Lakeview,Semi-Furnished,No,No,Yes,No,Yes,Yes,526601.54
4443,1,2,1,1,33,Uptown,Unfurnished,Yes,No,No,Yes,Yes,Yes,1063552.85
3573,4,1,3,0,43,Uptown,Semi-Furnished,No,No,Yes,Yes,Yes,No,975717.44
1521,2,1,1,3,19,Rural,Semi-Furnished,Yes,Yes,No,Yes,No,No,262537.28
3961,5,2,1,3,31,Eastside,Unfurnished,Yes,No,No,Yes,No,Yes,631437.53
3113,5,1,3,2,12,Downtown,Unfurnished,Yes,No,Yes,Yes,No,Yes,948831.93
4343,5,3,3,1,7,Southend,Unfurnished,Yes,No,No,No,Yes,No,636323.25
2000,6,3,2,0,24,Uptown,Unfurnished,Yes,No,No,Yes,No,Yes,596917.87
661,6,3,1,0,14,Southend,Furnished,Yes,No,No,Yes,No,No,337631.47
4797,6,2,1,2,10,Eastside,Unfurnished,Yes,No,Yes,Yes,No,No,584675.22
2481,5,4,3,3,35,Uptown,Furnished,Yes,Yes,Yes,No,No,Yes,894828.27
1495,1,3,1,1,19,Midtown,Semi-Furnished,Yes,No,Yes,Yes,No,No,360848.09
3842,6,1,1,0,34,Uptown,Unfurnished,Yes,No,No,No,No,No,922962.83
5051,1,3,1,0,20,Westside,Unfurnished,Yes,Yes,No,Yes,Yes,Yes,757600.47
4298,2,3,1,2,31,Lakeview,Semi-Furnished,Yes,Yes,No,Yes,Yes,Yes,1212962.21
1775,3,2,2,1,27,Westside,Semi-Furnished,Yes,Yes,No,Yes,No,No,536315.89
1516,5,1,3,1,16,Southend,Semi-Furnished,No,Yes,Yes,Yes,Yes,Yes,383721.23
837,1,3,1,0,38,Suburban,Unfurnished,Yes,No,No,No,No,No,165545.75
1378,2,1,1,0,41,Southend,Semi-Furnished,Yes,Yes,No,Yes,Yes,No,246126.24
1576,5,2,1,2,15,Downtown,Furnished,No,Yes,Yes,Yes,Yes,No,615299.46
4493,3,4,3,0,11,Uptown,Unfurnished,Yes,Yes,No,No,Yes,No,1000784.06
879,5,2,3,2,48,Uptown,Semi-Furnished,No,No,No,No,Yes,No,394676.26
992,6,3,1,1,5,Lakeview,Semi-Furnished,Yes,No,No,No,Yes,No,563215.36
2562,4,3,2,1,33,Midtown,Furnished,Yes,No,No,No,No,No,754630.86
4384,5,1,2,2,26,Southend,Furnished,Yes,No,Yes,No,Yes,No,659115.46
564,4,3,2,3,8,Uptown,Furnished,Yes,No,Yes,No,No,No,454831.28
3068,3,2,2,3,3,Downtown,Semi-Furnished,Yes,No,No,Yes,Yes,No,954625.59
2527,4,2,3,1,36,Rural,Furnished,Yes,No,No,No,No,No,471937.95
3195,3,2,3,2,10,Midtown,Furnished,Yes,Yes,No,No,Yes,Yes,1126568.07
1995,2,2,1,3,3,Uptown,Unfurnished,Yes,Yes,No,Yes,Yes,Yes,732565.76
891,4,2,3,2,19,Westside,Semi-Furnished,Yes,Yes,Yes,Yes,No,No,411952.69
5014,6,3,2,3,14,Midtown,Unfurnished,Yes,No,Yes,No,No,No,1167334.46
4974,5,1,1,2,15,Northend,Semi-Furnished,Yes,Yes,Yes,Yes,Yes,No,944991.11
4061,5,3,3,1,32,Northend,Furnished,No,No,No,No,No,No,696895.71
2778,2,3,1,3,26,Eastside,Unfurnished,Yes,No,No,Yes,No,No,529631.89
3599,1,1,3,2,34,Suburban,Semi-Furnished,Yes,Yes,Yes,Yes,Yes,No,602818.93
700,6,4,1,0,26,Southend,Semi-Furnished,No,Yes,No,Yes,Yes,Yes,335285.18
3604,6,3,2,3,43,Suburban,Semi-Furnished,Yes,Yes,No,Yes,No,Yes,734290.26
5098,3,1,2,3,33,Northend,Furnished,No,No,No,Yes,Yes,No,610256.63
2954,6,2,2,3,0,Eastside,Semi-Furnished,No,No,No,Yes,No,No,399736.4
4145,1,2,3,3,4,Westside,Semi-Furnished,Yes,Yes,No,Yes,No,Yes,731010.27
1304,1,2,1,3,19,Rural,Furnished,Yes,No,Yes,Yes,No,No,259456.52
3231,2,2,2,0,31,Eastside,Semi-Furnished,No,Yes,Yes,Yes,No,Yes,424050.51
3273,2,2,2,2,13,Downtown,Unfurnished,No,No,No,Yes,Yes,No,1117846.85
2070,4,1,1,0,12,Westside,Furnished,Yes,No,No,Yes,No,No,528479.79
3190,6,3,2,1,31,Midtown,Furnished,Yes,No,No,Yes,Yes,Yes,898555.32
4340,4,1,1,0,23,Rural,Furnished,Yes,Yes,Yes,No,Yes,No,569136.63
1528,4,4,3,3,36,Westside,Unfurnished,Yes,Yes,Yes,Yes,No,Yes,596029.66
1002,4,1,2,1,3,Midtown,Semi-Furnished,Yes,Yes,No,No,No,No,444949.92
4993,4,1,1,2,36,Suburban,Semi-Furnished,Yes,No,No,Yes,Yes,No,991468.58
1370,5,1,1,0,27,Northend,Unfurnished,Yes,No,No,Yes,Yes,Yes,237054.15
4988,2,1,1,1,2,Westside,Semi-Furnished,Yes,Yes,No,No,Yes,No,1010670.69
706,3,4,2,1,12,Northend,Furnished,Yes,Yes,No,No,Yes,No,296654.44
1984,3,2,3,3,15,Northend,Furnished,Yes,No,No,Yes,No,No,547779.06
1363,3,4,1,2,46,Westside,Furnished,Yes,No,No,Yes,No,Yes,492576.23
3290,3,3,3,0,42,Westside,Unfurnished,Yes,No,Yes,No,Yes,No,739087.36
1063,3,2,3,3,27,Uptown,Semi-Furnished,Yes,No,No,No,Yes,Yes,542527.11
4691,5,1,2,1,3,Lakeview,Furnished,No,No,No,No,No,No,1308986.95
2257,2,3,3,1,3,Uptown,Semi-Furnished,Yes,No,Yes,No,Yes,No,770113.21
2178,6,1,1,0,36,Eastside,Semi-Furnished,Yes,Yes,Yes,No,Yes,No,341631.58
3742,4,4,3,3,32,Uptown,Semi-Furnished,No,No,No,Yes,No,No,691881.56
5136,4,2,3,2,33,Southend,Semi-Furnished,No,No,Yes,Yes,Yes,No,780767.82
1559,4,4,2,2,26,Midtown,Unfurnished,Yes,No,No,No,No,Yes,613881.26
2222,2,2,3,2,41,Lakeview,Furnished,Yes,No,Yes,Yes,No,Yes,812872.89
3814,2,1,1,0,14,Southend,Semi-Furnished,Yes,Yes,Yes,Yes,Yes,Yes,710827.1
3657,6,3,1,1,41,Rural,Semi-Furnished,Yes,No,Yes,Yes,Yes,Yes,455367.55
3125,5,1,1,0,37,Uptown,Furnished,Yes,No,Yes,No,Yes,Yes,785999.61
3229,5,3,2,3,16,Lakeview,Semi-Furnished,No,No,No,Yes,No,No,1132742.41
2097,6,4,2,0,31,Downtown,Semi-Furnished,Yes,Yes,Yes,No,No,No,920106.85
3560,4,4,1,0,37,Suburban,Unfurnished,Yes,Yes,No,No,No,No,604118.07
3193,6,4,3,0,10,Eastside,Semi-Furnished,Yes,Yes,Yes,Yes,Yes,Yes,618938.36
4127,2,1,2,3,25,Southend,Furnished,Yes,No,Yes,Yes,Yes,No,693902.01
1863,4,3,3,2,47,Southend,Unfurnished,Yes,No,No,Yes,No,No,293357.67
2481,5,1,3,1,43,Southend,Furnished,Yes,No,Yes,No,Yes,No,516503.4
2163,6,4,2,3,33,Southend,Semi-Furnished,Yes,Yes,No,No,Yes,No,570083.26
2029,4,2,3,0,31,Lakeview,Furnished,Yes,No,No,No,Yes,No,778947.0
2538,5,1,3,2,0,Lakeview,Furnished,Yes,No,Yes,No,Yes,No,1087772.77
3802,1,3,1,0,26,Uptown,Furnished,Yes,No,No,Yes,Yes,Yes,916879.21
2737,3,3,3,0,10,Northend,Semi-Furnished,No,No,Yes,Yes,No,No,442908.78
1806,1,4,3,2,48,Suburban,Furnished,Yes,No,No,Yes,No,No,446494.26
4529,6,4,2,2,6,Suburban,Furnished,Yes,Yes,No,No,Yes,Yes,1037122.29
3175,4,2,2,1,8,Uptown,Semi-Furnished,Yes,No,Yes,Yes,No,No,799095.17
1782,4,3,3,1,47,Rural,Furnished,Yes,Yes,No,No,No,No,316760.12
1209,2,3,3,2,13,Lakeview,Semi-Furnished,Yes,Yes,No,Yes,No,Yes,780558.25
4913,3,4,2,0,22,Eastside,Semi-Furnished,Yes,No,No,No,Yes,No,717113.86
4248,5,3,3,1,8,Eastside,Furnished,Yes,Yes,No,Yes,Yes,No,638219.78
1163,4,2,1,1,19,Southend,Unfurnished,Yes,No,No,Yes,No,No,283294.15
2498,5,1,3,2,4,Suburban,Furnished,Yes,Yes,No,Yes,No,No,622543.57
3945,5,2,3,0,9,Eastside,Unfurnished,Yes,No,Yes,Yes,Yes,No,672793.44
4243,5,2,3,0,47,Suburban,Semi-Furnished,Yes,No,No,No,Yes,No,657130.3
1995,1,1,3,3,27,Eastside,Furnished,Yes,Yes,No,Yes,Yes,No,437076.59
3804,5,3,2,2,30,Uptown,Semi-Furnished,Yes,Yes,No,No,Yes,Yes,1117571.85
4263,2,1,3,0,8,Uptown,Unfurnished,No,No,No,No,Yes,Yes,957905.98
2353,1,2,1,0,8,Rural,Semi-Furnished,Yes,No,Yes,No,No,No,255417.71
5159,1,1,3,3,8,Midtown,Unfurnished,Yes,Yes,Yes,Yes,Yes,No,817717.66
1791,4,2,1,2,45,Lakeview,Unfurnished,Yes,Yes,No,Yes,Yes,Yes,592325.6
4081,3,1,2,3,44,Downtown,Furnished,Yes,No,No,Yes,Yes,No,1089392.97
3957,3,2,1,1,47,Westside,Semi-Furnished,No,Yes,Yes,Yes,No,No,663977.93
2136,6,4,2,3,23,Northend,Semi-Furnished,No,Yes,No,No,No,Yes,491169.07
4196,4,3,2,0,40,Suburban,Furnished,Yes,Yes,No,No,No,No,653043.73
3499,3,1,2,3,16,Midtown,Semi-Furnished,No,No,Yes,Yes,No,Yes,931519.08
3652,5,1,1,0,49,Midtown,Unfurnished,Yes,No,No,No,Yes,No,935489.14
1198,2,1,1,0,3,Suburban,Semi-Furnished,Yes,No,No,Yes,No,No,335609.42
2660,5,4,1,3,16,Rural,Furnished,Yes,Yes,Yes,No,Yes,Yes,431931.92
4597,3,3,2,1,0,Eastside,Semi-Furnished,Yes,No,No,Yes,Yes,Yes,797437.8
1354,3,1,3,1,34,Southend,Furnished,Yes,No,No,No,No,No,343783.8
3974,2,1,1,3,4,Uptown,Unfurnished,Yes,Yes,No,Yes,Yes,Yes,1114681.83
2207,1,4,1,0,32,Uptown,Unfurnished,Yes,Yes,No,Yes,Yes,No,734166.54
3277,1,1,1,3,11,Eastside,Unfurnished,Yes,No,No,No,Yes,No,398592.01
2233,2,4,3,1,42,Westside,Unfurnished,Yes,Yes,Yes,Yes,Yes,Yes,672594.18
4010,1,2,2,3,44,Rural,Furnished,Yes,No,No,No,Yes,No,447030.43
702,3,4,3,1,26,Lakeview,Unfurnished,Yes,Yes,No,No,Yes,No,586649.76
3755,1,2,3,3,40,Suburban,Furnished,Yes,No,No,Yes,No,No,538410.81
4718,3,4,3,1,7,Suburban,Unfurnished,Yes,No,Yes,No,Yes,Yes,926205.49
4996,4,1,2,0,9,Southend,Unfurnished,Yes,No,Yes,No,Yes,No,913497.05
1266,5,3,1,1,21,Lakeview,Unfurnished,Yes,Yes,Yes,No,No,No,618394.96
4889,1,2,1,1,20,Northend,Unfurnished,Yes,No,No,Yes,No,No,688518.22
2827,4,3,1,0,21,Eastside,Semi-Furnished,Yes,Yes,No,Yes,Yes,No,500731.3
3431,6,3,2,2,4,Uptown,Semi-Furnished,Yes,No,No,No,Yes,Yes,1082445.89
697,1,3,3,2,43,Lakeview,Semi-Furnished,Yes,Yes,Yes,Yes,Yes,Yes,511600.11
2430,4,4,2,0,2,Westside,Unfurnished,Yes,No,No,Yes,Yes,No,594077.61
4082,2,1,2,1,29,Westside,Semi-Furnished,Yes,No,No,Yes,No,No,771340.55
1108,4,3,3,0,6,Midtown,Unfurnished,No,No,No,Yes,No,Yes,568302.26
3772,3,3,2,2,25,Rural,Furnished,Yes,Yes,No,Yes,Yes,Yes,445631.3
1647,2,3,3,0,16,Northend,Furnished,Yes,No,Yes,Yes,No,No,370819.06
4782,2,1,2,3,44,Uptown,Semi-Furnished,No,Yes,No,No,Yes,No,1038889.55
3897,3,2,2,2,15,Northend,Semi-Furnished,Yes,No,Yes,Yes,Yes,No,626795.24
3011,1,2,2,0,6,Uptown,Semi-Furnished,Yes,No,No,No,Yes,No,673596.27
2294,2,3,3,0,28,Midtown,Unfurnished,Yes,No,No,Yes,No,No,582960.93
1159,1,2,2,1,12,Downtown,Furnished,Yes,No,No,Yes,No,No,465771.81
3311,5,4,1,1,22,Downtown,Semi-Furnished,Yes,Yes,No,Yes,No,No,897808.94
1869,4,4,1,2,49,Southend,Furnished,No,No,No,No,No,Yes,458482.89
2486,4,1,3,0,30,Downtown,Furnished,Yes,No,Yes,Yes,Yes,No,793490.88
646,3,4,3,0,4,Suburban,Semi-Furnished,No,No,No,Yes,No,No,281294.99
3719,3,1,2,2,31,Westside,Furnished,No,Yes,Yes,No,No,Yes,861593.36
3411,6,1,1,2,49,Northend,Furnished,Yes,No,No,Yes,No,Yes,570901.37
2234,4,2,1,1,5,Southend,Unfurnished,Yes,No,No,No,No,Yes,521007.19
2343,5,3,1,1,43,Westside,Semi-Furnished,Yes,No,No,No,No,No,298560.48
988,3,3,2,0,8,Midtown,Semi-Furnished,Yes,No,No,Yes,No,Yes,438734.25
3476,5,3,1,2,6,Suburban,Semi-Furnished,No,No,Yes,No,Yes,Yes,774744.69
2459,6,2,1,0,35,Midtown,Semi-Furnished,Yes,No,Yes,No,Yes,No,732818.71
2885,3,3,1,0,12,Lakeview,Semi-Furnished,Yes,No,No,Yes,Yes,No,801910.09
3419,2,2,1,0,25,Westside,Semi-Furnished,Yes,No,No,Yes,Yes,No,544688.48
2302,6,2,2,3,9,Westside,Unfurnished,No,Yes,No,Yes,No,No,477200.76
4561,1,4,2,1,0,Downtown,Semi-Furnished,Yes,No,No,No,Yes,No,1040718.31
3869,4,3,3,0,46,Southend,Furnished,Yes,No,No,Yes,Yes,No,667420.66
762,1,1,2,1,6,Northend,Unfurnished,Yes,No,No,Yes,No,Yes,236445.91
1123,6,3,2,1,22,Southend,Unfurnished,Yes,Yes,No,Yes,Yes,No,317330.84
1516,4,4,1,3,9,Downtown,Furnished,Yes,Yes,No,Yes,No,Yes,583508.16
4143,6,4,3,0,2,Southend,Furnished,Yes,Yes,No,No,No,No,662806.47
2549,3,4,2,2,8,Eastside,Furnished,Yes,No,No,Yes,No,No,515367.56
4223,1,1,3,3,8,Uptown,Furnished,Yes,No,No,Yes,No,No,1007292.87
5048,6,4,2,3,46,Downtown,Furnished,Yes,Yes,No,Yes,No,Yes,1698300.98
3608,6,4,2,2,8,Downtown,Furnished,Yes,No,No,Yes,Yes,No,1220315.97
4590,5,1,2,2,8,Northend,Furnished,Yes,Yes,Yes,Yes,Yes,Yes,799201.36
2556,6,1,1,0,47,Southend,Unfurnished,Yes,No,No,No,Yes,No,423987.62
3670,3,2,2,2,20,Midtown,Unfurnished,No,No,Yes,Yes,Yes,No,833666.09
2182,6,2,1,3,10,Midtown,Unfurnished,No,No,Yes,No,Yes,No,892921.66
2755,2,1,2,0,12,Midtown,Semi-Furnished,Yes,No,No,Yes,Yes,No,713820.45
1654,1,1,3,3,20,Eastside,Semi-Furnished,Yes,No,Yes,Yes,Yes,No,339818.84
4999,1,4,1,0,39,Downtown,Semi-Furnished,Yes,No,Yes,Yes,No,No,1096842.12
3691,2,1,2,0,24,Uptown,Unfurnished,No,Yes,Yes,Yes,Yes,Yes,948952.08
2196,4,3,2,2,33,Eastside,Furnished,No,Yes,Yes,No,Yes,No,529748.88
4491,3,1,2,0,30,Lakeview,Unfurnished,Yes,No,No,Yes,No,Yes,1123860.62
5182,2,2,3,3,24,Lakeview,Unfurnished,Yes,No,No,Yes,Yes,No,1228014.33
2148,6,4,2,0,7,Rural,Unfurnished,Yes,Yes,No,Yes,Yes,No,354729.36
1945,5,1,3,0,37,Westside,Semi-Furnished,Yes,Yes,No,No,Yes,Yes,533642.02
4699,3,4,2,3,21,Downtown,Unfurnished,No,No,No,No,Yes,No,1025550.01
4423,2,4,3,1,22,Uptown,Unfurnished,Yes,No,Yes,Yes,Yes,Yes,1253611.38
753,2,4,1,0,38,Southend,Unfurnished,Yes,Yes,No,Yes,Yes,Yes,314425.34
3683,1,4,3,3,23,Suburban,Furnished,Yes,No,No,Yes,No,No,696223.68
3057,1,3,2,0,34,Southend,Semi-Furnished,Yes,No,No,Yes,Yes,No,493906.69
598,1,3,1,2,13,Rural,Furnished,Yes,No,No,Yes,Yes,Yes,258923.44
2700,3,1,2,1,7,Westside,Semi-Furnished,Yes,Yes,No,Yes,No,No,696348.35
3461,6,1,3,1,6,Southend,Furnished,Yes,No,No,Yes,No,Yes,624203.62
4933,4,3,1,3,43,Lakeview,Semi-Furnished,No,Yes,Yes,Yes,No,Yes,1311191.09
4277,3,4,2,1,5,Lakeview,Unfurnished,Yes,No,No,No,Yes,Yes,1309841.28
3369,1,4,3,2,48,Midtown,Unfurnished,No,No,Yes,Yes,No,No,745621.84
3734,1,4,3,3,28,Uptown,Unfurnished,Yes,Yes,No,Yes,Yes,No,1002282.26
4291,3,1,3,0,4,Westside,Furnished,Yes,No,No,Yes,Yes,Yes,810179.87
1456,6,3,1,2,19,Rural,Furnished,Yes,Yes,No,No,Yes,Yes,422270.87
4567,6,3,2,1,26,Downtown,Furnished,Yes,No,No,No,Yes,Yes,1150422.14
660,2,2,2,3,23,Eastside,Unfurnished,Yes,No,Yes,Yes,No,No,208359.82
4993,2,1,2,3,18,Suburban,Furnished,Yes,No,No,No,Yes,Yes,791319.79
1800,1,4,1,1,9,Eastside,Unfurnished,Yes,No,No,Yes,Yes,Yes,325730.31
4487,1,2,2,3,24,Lakeview,Unfurnished,Yes,No,Yes,No,Yes,Yes,1307177.48
2027,4,2,2,2,22,Northend,Furnished,Yes,Yes,No,No,Yes,Yes,397110.16
1718,6,4,2,1,45,Downtown,Furnished,Yes,Yes,No,Yes,No,No,879875.27
4996,2,1,3,2,11,Uptown,Unfurnished,Yes,No,No,No,Yes,No,1003247.66
3604,4,4,2,3,49,Northend,Unfurnished,Yes,Yes,No,Yes,Yes,No,501021.6
3235,1,2,3,1,20,Eastside,Furnished,Yes,No,No,Yes,Yes,Yes,524343.33
5055,6,4,3,0,39,Westside,Furnished,Yes,No,No,Yes,No,No,1261509.47
1454,1,2,3,2,8,Lakeview,Unfurnished,Yes,Yes,No,Yes,Yes,No,700804.4
5065,4,4,3,3,16,Rural,Unfurnished,Yes,No,No,Yes,Yes,Yes,659381.38
3946,4,2,2,2,10,Rural,Unfurnished,Yes,No,Yes,Yes,Yes,No,635790.38
1545,1,4,2,2,13,Westside,Unfurnished,Yes,No,No,Yes,No,No,383968.72
2193,5,3,3,2,11,Westside,Semi-Furnished,Yes,No,No,No,Yes,No,528094.0
3936,1,2,2,0,42,Rural,Unfurnished,Yes,No,Yes,Yes,Yes,No,412501.36
1062,2,3,3,3,39,Midtown,Furnished,Yes,No,No,Yes,Yes,No,486674.62
2985,6,1,1,2,11,Northend,Semi-Furnished,Yes,Yes,No,Yes,Yes,Yes,614006.08
3854,6,3,2,3,13,Southend,Semi-Furnished,Yes,No,No,No,No,Yes,834576.97
725,1,1,3,3,43,Lakeview,Furnished,Yes,No,No,No,No,No,423320.87
1459,3,4,1,3,41,Southend,Furnished,No,Yes,Yes,Yes,No,No,309588.98
5048,1,1,2,2,28,Suburban,Furnished,Yes,No,No,Yes,No,No,641753.73
3567,5,2,2,2,12,Eastside,Furnished,Yes,No,No,Yes,Yes,No,739764.08
1315,2,1,1,1,16,Uptown,Semi-Furnished,No,No,No,No,Yes,Yes,525198.07
5142,1,3,2,3,28,Southend,Semi-Furnished,Yes,Yes,Yes,Yes,No,No,802855.18
3620,4,3,1,3,28,Eastside,Unfurnished,No,No,No,No,No,No,606411.08
516,2,2,2,0,19,Uptown,Unfurnished,No,No,No,Yes,Yes,Yes,326479.85
1743,2,2,1,1,16,Lakeview,Furnished,Yes,No,No,No,Yes,Yes,757740.71
2705,5,2,2,3,39,Eastside,Unfurnished,Yes,No,Yes,Yes,No,No,506004.95
3024,6,1,3,2,32,Northend,Semi-Furnished,No,No,Yes,Yes,Yes,No,578108.82
1569,4,1,2,3,33,Eastside,Semi-Furnished,Yes,No,No,Yes,No,Yes,436390.74
3944,3,1,1,0,18,Southend,Furnished,Yes,No,No,Yes,Yes,No,515268.91
3065,1,1,1,3,22,Eastside,Semi-Furnished,Yes,Yes,Yes,No,Yes,No,579902.22
1560,3,2,3,0,44,Suburban,Semi-Furnished,Yes,Yes,Yes,Yes,Yes,Yes,433025.99
2827,6,1,1,2,40,Rural,Semi-Furnished,Yes,No,No,No,No,Yes,459450.57
3920,4,3,3,1,10,Downtown,Unfurnished,Yes,No,Yes,Yes,No,No,1122935.96
801,2,3,1,2,19,Midtown,Unfurnished,Yes,No,No,Yes,Yes,No,334813.84
4776,5,2,2,3,16,Midtown,Furnished,Yes,No,Yes,No,Yes,No,1401295.79
1106,5,2,2,1,12,Westside,Semi-Furnished,Yes,No,No,Yes,No,No,409755.63
3670,2,3,1,0,33,Downtown,Furnished,Yes,No,No,Yes,Yes,Yes,908331.96
1199,5,4,3,1,12,Eastside,Furnished,Yes,Yes,Yes,No,Yes,Yes,517545.13
1639,3,4,1,3,16,Westside,Semi-Furnished,Yes,No,No,No,No,No,463362.02
690,6,1,2,0,33,Uptown,Semi-Furnished,Yes,Yes,No,No,No,No,391484.88
2800,2,4,1,1,26,Westside,Unfurnished,No,Yes,No,Yes,Yes,No,520730.85
1480,1,1,2,3,4,Suburban,Furnished,Yes,No,No,Yes,Yes,Yes,528776.82
3475,1,2,2,3,42,Suburban,Semi-Furnished,Yes,No,No,No,No,No,547225.78
1684,4,2,2,0,27,Westside,Unfurnished,Yes,No,No,No,Yes,Yes,533318.15
3827,6,3,1,0,38,Downtown,Furnished,Yes,Yes,No,Yes,Yes,No,1085220.57
3894,6,3,1,1,41,Northend,Unfurnished,Yes,No,No,No,No,Yes,447078.92
627,2,2,2,3,11,Rural,Furnished,No,Yes,No,Yes,Yes,No,233277.3
2565,6,1,2,0,24,Midtown,Furnished,Yes,No,No,Yes,Yes,Yes,741355.53
2316,3,3,1,0,8,Midtown,Unfurnished,Yes,No,Yes,No,Yes,No,823879.0
1069,6,4,1,3,21,Midtown,Semi-Furnished,Yes,No,Yes,Yes,No,Yes,455514.65
2395,2,4,3,0,5,Westside,Unfurnished,No,No,No,Yes,No,Yes,537170.35
